pid,human_valence_1to7,human_arousal_1to7,human_interest_1to5,chapter_text,model,pred_valence_1to7,pred_arousal_1to7,pred_interest_1to5,rationale
1295,4,5,3,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,4,"The participant's high extraversion, openness, and green scores suggest they would find the futuristic adventure engaging and stimulating, leading to positive valence and high arousal, with moderate interest in the story's themes."
130,5,6,4,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,4,"The participant's moderate openness and curiosity, combined with their high communion and minimalism scores, suggest they would find the futuristic adventure engaging and stimulating, though not overwhelmingly so."
1304,3,5,4,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,5,"The participant's high openness, environmentalism, and curiosity suggest they would find the story engaging and stimulating, evoking positive emotions and high interest."
1312,3,3,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy response, with limited personal interest given the bleak content."
133,4,6,5,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The participant's high openness and extraversion suggest engagement with suspenseful stories, but their low neuroticism indicates a less negative emotional response, leading to a somewhat negative valence and high arousal."
1331,2,6,2,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The chapter's suspenseful and intense scene is likely to evoke negative valence and high arousal, with moderate interest due to curiosity about the story."
1332,7,4,3,"Princess Yoko wandered through the royal gardens as the morning light softly illuminated glistening dew on freshly bloomed roses and perfectly pruned hedges. It was the day of the grand ball—a cherished event where noble suitors traditionally gathered to win her heart. Yet, while she took in the elegant fountains and timeless statues, her thoughts strayed to a life of freedom far beyond the palace confines. The gentle chorus of birds and hushed whispers of the staff only amplified her inner longing for self-determination.<br><br>

With each measured step, Yoko’s determination solidified. No longer willing to be merely the emblem of regal tradition, she resolved that tonight, beneath the veil of dusk, she would vanish into the night to forge her own path. Wearing a modest dress that belied the fierce spirit within, she cast a final, reflective look toward the ballroom, ready to embrace the unpredictable journey that lay beyond the castle gates.",gpt-4.1-nano,6,5,4,"The participant's curiosity and openness suggest they would find the story intriguing and emotionally engaging, with moderate excitement and positive feelings about Yoko's desire for independence."
1333,4,6,3,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out.",gpt-4.1-nano,6,6,4,"The participant's high openness and empathy suggest they would find the story intriguing and emotionally engaging, leading to positive valence and high arousal, with moderate interest due to curiosity."
1342,3,6,3,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,4,"The participant's moderate openness and curiosity suggest they would find the story engaging and exciting, but their lower extraversion and need for cognition indicate a balanced emotional response rather than extreme enthusiasm."
1345,1,6,3,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning.",gpt-4.1-nano,2,6,4,"The participant's high neuroticism and openness suggest they would find the story intriguing and emotionally stimulating, but potentially unsettling, leading to a negative valence and high arousal."
1360,4,5,5,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out.",gpt-4.1-nano,6,6,4,"The participant's openness and agreeableness suggest she would find the story intriguing and emotionally engaging, leading to positive valence and high arousal, with moderate interest after reading."
1383,2,2,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy emotional response, with limited personal interest given the bleak context."
1393,7,7,4,"Princess Yoko wandered through the royal gardens as the morning light softly illuminated glistening dew on freshly bloomed roses and perfectly pruned hedges. It was the day of the grand ball—a cherished event where noble suitors traditionally gathered to win her heart. Yet, while she took in the elegant fountains and timeless statues, her thoughts strayed to a life of freedom far beyond the palace confines. The gentle chorus of birds and hushed whispers of the staff only amplified her inner longing for self-determination.<br><br>

With each measured step, Yoko’s determination solidified. No longer willing to be merely the emblem of regal tradition, she resolved that tonight, beneath the veil of dusk, she would vanish into the night to forge her own path. Wearing a modest dress that belied the fierce spirit within, she cast a final, reflective look toward the ballroom, ready to embrace the unpredictable journey that lay beyond the castle gates.",gpt-4.1-nano,6,5,4,"The participant's high openness and agency scores suggest they would find the story inspiring and engaging, evoking positive emotions and moderate excitement about Yoko's pursuit of independence."
1395,4,3,3,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,4,"The participant's moderate openness and high agency suggest they would find the futuristic adventure engaging and exciting, though their lower extraversion and agreeableness indicate a more measured emotional response."
1404,4,5,3,"Princess Yoko wandered through the royal gardens as the morning light softly illuminated glistening dew on freshly bloomed roses and perfectly pruned hedges. It was the day of the grand ball—a cherished event where noble suitors traditionally gathered to win her heart. Yet, while she took in the elegant fountains and timeless statues, her thoughts strayed to a life of freedom far beyond the palace confines. The gentle chorus of birds and hushed whispers of the staff only amplified her inner longing for self-determination.<br><br>

With each measured step, Yoko’s determination solidified. No longer willing to be merely the emblem of regal tradition, she resolved that tonight, beneath the veil of dusk, she would vanish into the night to forge her own path. Wearing a modest dress that belied the fierce spirit within, she cast a final, reflective look toward the ballroom, ready to embrace the unpredictable journey that lay beyond the castle gates.",gpt-4.1-nano,6,5,4,"The participant's openness and agreeableness suggest they would find the story inspiring and engaging, with a positive and moderately energetic response."
1422,5,3,4,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy emotional response, with limited personal interest given the participant's background and preferences."
1427,6,5,3,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,5,4,"The story's adventurous and magical themes likely evoke positive feelings and moderate excitement, aligning with her high openness and environmental affinity, while her moderate extraversion and empathy suggest she finds the narrative engaging but not overly stimulating."
1428,2,6,4,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning.",gpt-4.1-nano,3,6,4,"The participant's low openness and need for cognition suggest a preference for familiar, straightforward content, but the mysterious and unsettling nature of the story may evoke moderate interest and high arousal due to its suspenseful elements."
143,6,6,5,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high extraversion and openness suggest they would find the story engaging and exciting, with positive emotional response and moderate to high energy levels."
1433,3,5,4,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The participant's moderate openness and neuroticism suggest a somewhat negative and high-energy response, with moderate interest in suspenseful narratives."
